Date,Close,Open,High,Low
2016-01-01,1175,1176,1177,1175
2016-01-04,1190,1176,1193,1176
2016-01-05,1191,1190,1193,1184
2016-01-06,1201,1191,1204,1188
2016-01-07,1197,1201,1205,1193
2016-01-08,1208,1197,1215,1192
2016-01-11,1205,1208,1212,1202
2016-01-12,1210,1205,1214,1204
2016-01-13,1210,1210,1215,1201
2016-01-14,1208,1210,1219,1208
2016-01-15,1215,1208,1222,1207
2016-01-18,1212,1215,1217,1208
2016-01-19,1207,1212,1214,1202
2016-01-20,1209,1207,1219,1207
2016-01-21,1204,1208,1214,1202
2016-01-22,1198,1204,1207,1196
2016-01-25,1200,1198,1203,1192
2016-01-26,1198,1200,1207,1197
2016-01-27,1209,1198,1210,1198
2016-01-28,1208,1209,1212,1201
2016-01-29,1208,1208,1214,1198
2016-02-01,1203,1208,1212,1200
2016-02-02,1212,1203,1215,1198
2016-02-03,1201,1213,1222,1200
2016-02-04,1192,1201,1207,1182
2016-02-05,1206,1192,1207,1189
2016-02-08,1204,1207,1212,1204
2016-02-09,1199,1204,1209,1197
2016-02-10,1189,1199,1202,1188
2016-02-11,1201,1189,1207,1188
2016-02-12,1207,1201,1213,1199
2016-02-15,1215,1208,1215,1207
2016-02-16,1219,1214,1223,1211
2016-02-17,1224,1219,1232,1218
2016-02-18,1229,1224,1235,1222
2016-02-19,1234,1229,1241,1228
2016-02-22,1224,1234,1239,1222
2016-02-23,1232,1224,1234,1222
2016-02-24,1233,1232,1242,1231
2016-02-25,1235,1233,1244,1232
2016-02-26,1243,1235,1246,1231
2016-02-29,1238,1244,1246,1235
2016-03-01,1229,1239,1239,1227
2016-03-02,1225,1229,1237,1225
2016-03-03,1212,1225,1228,1209
2016-03-04,1199,1212,1214,1195
2016-03-07,1200,1199,1209,1197
2016-03-08,1210,1200,1211,1200
2016-03-09,1210,1210,1218,1207
2016-03-10,1205,1210,1215,1199
2016-03-11,1188,1205,1211,1184
2016-03-14,1189,1188,1193,1184
2016-03-15,1195,1189,1198,1186
2016-03-16,1179,1195,1197,1177
2016-03-17,1155,1179,1180,1152
2016-03-18,1164,1155,1165,1154
2016-03-21,1161,1164,1170,1158
2016-03-22,1157,1161,1166,1153
2016-03-23,1169,1158,1170,1156
2016-03-24,1169,1169,1171,1164
2016-03-25,1169,1169,1175,1165
2016-03-28,1166,1170,1174,1165
2016-03-29,1156,1166,1168,1155
2016-03-30,1144,1155,1159,1140
2016-03-31,1145,1144,1148,1135
2016-04-01,1148,1145,1156,1142
2016-04-04,1152,1148,1153,1146
2016-04-05,1161,1152,1163,1150
2016-04-06,1156,1161,1164,1153
2016-04-07,1161,1156,1162,1151
2016-04-08,1152,1161,1164,1147
2016-04-11,1143,1152,1155,1141
2016-04-12,1144,1142,1149,1141
2016-04-13,1146,1144,1150,1142
2016-04-14,1154,1146,1160,1145
2016-04-15,1147,1154,1156,1145
2016-04-18,1144,1147,1154,1142
2016-04-19,1129,1145,1147,1125
2016-04-20,1134,1129,1138,1127
2016-04-21,1141,1134,1143,1132
2016-04-22,1150,1141,1151,1138
2016-04-25,1151,1149,1153,1146
2016-04-26,1148,1151,1153,1146
2016-04-27,1149,1148,1155,1143
2016-04-28,1138,1149,1151,1136
2016-04-29,1145,1137,1149,1134
2016-05-02,1137,1145,1147,1137
2016-05-03,1152,1137,1153,1134
2016-05-04,1167,1152,1168,1150
2016-05-05,1168,1167,1172,1163
2016-05-06,1169,1168,1176,1166
2016-05-09,1176,1170,1179,1163
2016-05-10,1171,1176,1177,1170
2016-05-11,1166,1171,1174,1163
2016-05-12,1170,1165,1171,1162
2016-05-13,1177,1170,1181,1166
2016-05-16,1178,1177,1181,1175
2016-05-17,1177,1178,1179,1171
2016-05-18,1190,1178,1194,1175
2016-05-19,1187,1189,1193,1187
2016-05-20,1186,1187,1193,1185
2016-05-23,1183,1191,1191,1182
2016-05-24,1188,1183,1195,1183
2016-05-25,1182,1188,1192,1180
2016-05-26,1180,1182,1186,1174
2016-05-27,1186,1180,1188,1177
2016-05-30,1193,1187,1194,1187
2016-05-31,1190,1190,1195,1188
2016-06-01,1192,1189,1196,1188
2016-06-02,1187,1192,1195,1185
2016-06-03,1164,1187,1191,1163
2016-06-06,1163,1165,1169,1161
2016-06-07,1156,1163,1167,1153
2016-06-08,1154,1156,1160,1151
2016-06-09,1159,1155,1163,1152
2016-06-10,1172,1159,1173,1158
2016-06-13,1172,1171,1176,1168
2016-06-14,1176,1172,1182,1171
2016-06-15,1169,1177,1181,1166
2016-06-16,1173,1169,1179,1168
2016-06-17,1170,1173,1178,1167
2016-06-20,1160,1171,1171,1156
2016-06-21,1154,1160,1164,1151
2016-06-22,1149,1153,1158,1146
2016-06-23,1142,1149,1154,1141
2016-06-24,1172,1142,1181,1141
2016-06-27,1181,1173,1190,1173
2016-06-28,1167,1180,1186,1166
2016-06-29,1154,1167,1172,1153
2016-06-30,1152,1155,1158,1147
2016-07-01,1150,1152,1154,1144
2016-07-04,1152,1152,1154,1145
2016-07-05,1159,1152,1160,1150
2016-07-06,1159,1159,1170,1156
2016-07-07,1158,1159,1162,1152
2016-07-08,1150,1158,1163,1148
2016-07-11,1151,1150,1152,1145
2016-07-12,1144,1151,1154,1142
2016-07-13,1146,1143,1149,1142
2016-07-14,1133,1146,1149,1131
2016-07-15,1139,1131,1139,1130
2016-07-18,1135,1138,1140,1134
2016-07-19,1141,1135,1143,1134
2016-07-20,1143,1141,1144,1138
2016-07-21,1138,1143,1144,1135
2016-07-22,1136,1138,1141,1134
2016-07-25,1142,1137,1144,1135
2016-07-26,1138,1142,1144,1135
2016-07-27,1132,1137,1138,1131
2016-07-28,1125,1132,1132,1123
2016-07-29,1112,1125,1126,1111
2016-08-01,1108,1112,1116,1103
2016-08-02,1112,1108,1113,1106
2016-08-03,1117,1112,1120,1111
2016-08-04,1114,1117,1118,1112
2016-08-05,1115,1114,1117,1108
2016-08-08,1108,1116,1118,1106
2016-08-09,1103,1108,1112,1101
2016-08-10,1096,1103,1105,1093
2016-08-11,1098,1096,1104,1094
2016-08-12,1103,1098,1107,1097
2016-08-15,1098,1103,1105,1096
2016-08-16,1096,1098,1100,1090
2016-08-17,1108,1096,1117,1094
2016-08-18,1108,1108,1113,1103
2016-08-19,1116,1108,1124,1107
2016-08-22,1124,1117,1130,1115
2016-08-23,1121,1124,1124,1115
2016-08-24,1121,1121,1126,1118
2016-08-25,1116,1121,1125,1115
2016-08-26,1123,1116,1124,1107
2016-08-29,1120,1123,1129,1120
2016-08-30,1120,1120,1122,1113
2016-08-31,1116,1120,1122,1114
2016-09-01,1118,1116,1125,1114
2016-09-02,1116,1118,1121,1108
2016-09-05,1105,1117,1117,1104
2016-09-06,1095,1105,1109,1094
2016-09-07,1091,1095,1097,1087
2016-09-08,1099,1091,1099,1088
2016-09-09,1109,1099,1110,1097
2016-09-12,1108,1110,1118,1107
2016-09-13,1128,1108,1130,1107
2016-09-14,1127,1128,1130,1123
2016-09-15,1125,1127,1134,1123
2016-09-16,1126,1125,1129,1120
2016-09-19,1119,1126,1126,1117
2016-09-20,1117,1119,1122,1117
2016-09-21,1104,1117,1124,1102
2016-09-22,1103,1104,1107,1097
2016-09-23,1104,1103,1108,1099
2016-09-26,1109,1104,1111,1103
2016-09-27,1097,1109,1114,1094
2016-09-28,1093,1097,1100,1093
2016-09-29,1103,1092,1105,1092
2016-09-30,1102,1103,1107,1098
2016-10-03,1104,1102,1106,1099
2016-10-04,1117,1104,1118,1102
2016-10-05,1115,1117,1118,1112
2016-10-06,1115,1115,1119,1110
2016-10-07,1116,1115,1119,1111
2016-10-10,1109,1116,1117,1107
2016-10-11,1125,1109,1127,1107
2016-10-12,1126,1125,1129,1121
2016-10-13,1130,1126,1139,1124
2016-10-14,1136,1130,1138,1129
2016-10-17,1137,1137,1145,1136
2016-10-18,1125,1137,1137,1124
2016-10-19,1120,1125,1126,1120
2016-10-20,1131,1120,1132,1119
2016-10-21,1136,1131,1141,1130
2016-10-24,1136,1136,1138,1130
2016-10-25,1130,1136,1140,1130
2016-10-26,1139,1130,1139,1129
2016-10-27,1147,1139,1149,1137
2016-10-28,1147,1147,1150,1144
2016-10-31,1143,1147,1150,1140
2016-11-01,1146,1143,1148,1139
2016-11-02,1145,1146,1153,1142
2016-11-03,1144,1145,1147,1137
2016-11-04,1141,1144,1147,1139
2016-11-07,1142,1141,1145,1138
2016-11-08,1129,1142,1143,1128
2016-11-09,1158,1129,1159,1129
2016-11-10,1166,1157,1168,1147
2016-11-11,1166,1166,1172,1160
2016-11-14,1169,1165,1177,1165
2016-11-15,1168,1169,1173,1164
2016-11-16,1171,1168,1178,1165
2016-11-17,1180,1171,1181,1168
2016-11-18,1181,1180,1187,1174
2016-11-21,1180,1181,1188,1176
2016-11-22,1170,1180,1181,1169
